,id,name,owner,address,city,postal_code,region,country,country_code,cadastral_id,power_installed,square_ft_meters_global,square_ft_meters_it,date_of_building_manufacturing,date_of_land_buying_act,main_source,secondary_source,last_update,comment_main_source,comment_secondary_source
0,CDROM_-_COURROUX,CDROM - COURROUX,,Pl. des Sciences 1,Courroux,2822 Courroux,Jura,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:37.415722+02:00,scraped from website with selenium,
0,CDROM_-_LE_NOIRMONT,CDROM - LE NOIRMONT,,Sous-la-Velle 14,Le Noirmont,2340 Le Noirmont,Jura,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:37.725708+02:00,scraped from website with selenium,
0,CELEONET,CELEONET,,43 Av. Louis Luc,,94600 Choisy-le-Roi,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:38.066282+02:00,scraped from website with selenium,
0,CELESTE_-_ARMOR,CELESTE - ARMOR,,2 Impasse Joséphine Baker,,44800 Saint-Herblain,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:38.436438+02:00,scraped from website with selenium,
0,CELESTE_-_FIL_D'ARIANE,CELESTE - FIL D'ARIANE,,1 Rue Pierre gilles de Gennes,Albi,81000 Albi,Occitanie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:38.813469+02:00,scraped from website with selenium,
0,CELESTE_-_MARILYN,CELESTE - MARILYN,,20 Rue Albert Einstein,Champs-sur-Marne,77420 Champs-sur-Marne,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:39.133368+02:00,scraped from website with selenium,
0,CIVICOS_NETWORKING_-_ROUBAIX,CIVICOS NETWORKING - ROUBAIX,,Roubaix,,59100,Hauts-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:39.504371+02:00,scraped from website with selenium,
0,CKW_-_COLO_ROTKREUZ,CKW - COLO ROTKREUZ,,Rotkreuz,Risch-Rotkreuz,6343,Zoug,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:39.880829+02:00,scraped from website with selenium,
0,CKW_-_COLO_SURSEE,CKW - COLO SURSEE,,Sursee,,6210,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:40.212947+02:00,scraped from website with selenium,
0,CKW_-_COLO_WOLHUSEN,CKW - COLO WOLHUSEN,,Wolhusen,Wolhusen,6110,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:40.539842+02:00,scraped from website with selenium,
0,CKW_-_LUZ_LUZERN_MITTE,CKW - LUZ LUZERN MITTE,,Stadtmitte,Lucerne,6000 Luzern,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:40.877684+02:00,scraped from website with selenium,
0,CKW_-_LUZ_LUZERN_NORD,CKW - LUZ LUZERN NORD,,Schwimmbadstrasse 5,Lucerne,6000 Luzern,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:41.196927+02:00,scraped from website with selenium,
0,CKW_-_LUZ_LUZERN_OST,CKW - LUZ LUZERN OST,,Emmen,,6032,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:41.507444+02:00,scraped from website with selenium,
0,CKW_-_ZUG,CKW - ZUG,,Rotkreuz,Risch-Rotkreuz,6343,Zoug,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:41.852237+02:00,scraped from website with selenium,
0,CLOUDATA,CLOUDATA,,La Boursidière,,92350 Le Plessis-Robinson,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:42.270404+02:00,scraped from website with selenium,
0,CM'IN_-_CHARTRES_MÉTROPOLE_INNOVATION_NUMÉRIQUE,CM'IN - CHARTRES MÉTROPOLE INNOVATION NUMÉRIQUE,,Le Coudray,Le Coudray,28630,Centre-Val de Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:42.624901+02:00,scraped from website with selenium,
0,COGENT_-_BORDEAUX,COGENT - BORDEAUX,,Bassin à Flots,Bassens,33300 Bordeaux,Nouvelle-Aquitaine,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:42.935360+02:00,scraped from website with selenium,
0,COGENT_-_DIJON,COGENT - DIJON,,41 Quai Gauthey,Dijon,21000 Dijon,Bourgogne-Franche-Comté,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:43.278821+02:00,scraped from website with selenium,
0,COGENT_-_GRENOBLE,COGENT - GRENOBLE,,33 rue Joseph Chanrion,Grenoble,38000 Grenoble,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:43.610672+02:00,scraped from website with selenium,
0,COGENT_-_LILLE,COGENT - LILLE,,72 rue Jenner,Lille,59000 Lille,Hauts-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:43.924965+02:00,scraped from website with selenium,
0,COGENT_-_MONTPELLIER,COGENT - MONTPELLIER,,189 Rue du 56ÈME Régiment d'Artillerie,Montpellier,34070 Montpellier,Occitanie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:44.270829+02:00,scraped from website with selenium,
